Ref,Slow_year1,Fast_year1,Rapid_year1,Slow_year2,Fast_year2,Rapid_year2,Slow_year3,Fast_year3,Rapid_year3,Slow_year4,Fast_year4,Rapid_year4
61,1,1,0,1,1,0,1,1,0,1,1,0
75,1,0,0,1,0,0,1,0,1,1,0,1
76,0,1,0,0,1,0,0,1,1,0,1,1
77,1,0,0,1,0,0,1,0,0,1,0,0
88,0,0,1,1,0,1,1,0,1,1,0,1
89,1,1,0,1,1,0,2,2,0,2,2,0
90,0,0,0,0,1,0,0,1,0,0,1,0
91,1,0,0,1,0,0,1,0,0,1,0,0
101,0,0,0,0,0,0,1,0,0,1,0,0
102,0,0,0,1,0,0,1,0,0,1,1,0
103,1,0,0,1,0,0,1,0,0,1,1,0
104,1,1,0,1,1,0,1,1,0,1,1,0
105,0,0,0,0,0,0,1,1,0,1,1,0
106,1,0,0,1,0,0,1,0,0,1,0,0
107,0,0,0,0,0,0,1,0,0,1,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,1,0,0,1,0,0
116,1,0,0,1,0,0,1,0,0,1,1,0
117,2,0,0,2,0,0,2,0,0,2,0,0
119,0,2,1,0,2,1,0,2,1,0,2,1
121,1,2,0,1,2,0,1,2,0,1,2,1
123,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,1,0,0,1,0,0,1,0,0
134,0,2,2,0,2,2,1,2,2,1,2,2
143,0,0,0,0,0,0,1,0,0,1,0,0
144,0,0,0,1,0,0,1,0,0,1,0,0
145,2,0,0,2,0,0,2,0,0,2,0,0
146,3,0,1,3,0,1,3,0,1,3,0,1
147,1,0,1,1,0,1,1,0,1,1,0,1
148,0,0,0,0,0,1,0,0,1,0,0,1
149,0,0,0,0,1,0,0,1,0,0,1,0
150,1,0,0,1,0,0,1,0,0,1,0,0
156,0,0,0,0,0,0,0,0,0,0,1,0
157,1,0,0,1,0,0,1,0,0,1,0,0
159,1,0,0,1,0,0,1,0,0,1,0,0
160,3,0,1,3,0,1,3,0,1,3,0,1
161,1,1,0,1,1,0,1,1,1,1,1,1
162,0,0,0,0,1,0,0,1,0,0,1,0
163,1,0,0,1,0,0,1,0,0,1,0,0
164,0,0,0,1,0,0,1,0,0,1,0,0
171,2,1,0,2,1,0,2,2,0,2,2,0
172,1,1,0,1,1,0,1,1,0,1,2,0
173,2,0,0,2,0,0,2,0,0,2,0,0
175,2,1,0,2,1,0,2,2,0,2,2,1
176,0,1,0,0,1,1,0,1,1,0,1,1
177,0,1,0,0,1,0,0,1,0,0,1,0
178,0,0,0,1,0,0,1,0,0,1,0,0
184,1,0,1,1,0,1,1,0,1,1,0,1
185,3,0,0,3,0,0,3,1,1,3,1,1
186,1,1,0,1,1,0,1,1,1,1,1,1
187,1,1,0,1,1,0,1,1,1,1,1,1
188,1,0,0,1,0,1,1,0,1,1,0,1
189,6,0,1,6,0,1,6,0,1,6,0,1
190,2,0,1,2,0,1,2,0,1,2,0,1
191,0,1,1,0,1,1,1,1,1,1,1,1
192,1,0,0,1,0,0,1,1,1,1,1,1
198,1,0,1,1,0,1,1,0,1,1,0,1
199,1,3,2,1,3,2,1,3,2,1,3,2
200,6,2,1,6,2,1,6,2,2,6,2,2
201,0,0,0,0,1,0,0,1,1,0,1,1
202,1,0,0,1,0,1,1,0,1,1,0,1
203,1,0,1,1,0,1,1,0,1,1,0,1
205,0,1,0,0,1,0,0,1,0,0,1,0
206,0,0,0,0,0,0,1,0,0,1,0,0
213,0,1,1,0,1,1,0,2,1,0,2,1
214,0,3,3,0,3,3,0,3,3,0,3,3
215,0,1,1,0,1,1,0,1,1,0,1,1
216,0,0,0,0,1,0,0,1,0,0,1,0
217,1,0,0,1,0,0,1,0,1,1,0,1
228,2,1,1,2,1,1,2,1,1,2,1,1
229,1,1,1,1,1,1,1,2,1,1,2,1
230,0,1,0,0,1,0,1,1,1,1,1,1
233,0,1,0,0,1,0,1,1,0,1,1,0
234,0,0,0,1,0,0,1,0,0,1,0,0
242,0,1,0,0,1,0,0,1,0,0,1,0
246,1,0,0,1,0,0,1,0,0,1,0,0
247,0,0,0,1,0,0,1,0,0,1,0,0
248,0,0,0,1,0,0,1,0,0,1,0,0
249,0,0,0,0,1,0,0,1,0,0,1,0
263,1,0,1,1,0,1,1,0,1,1,0,1
272,1,0,0,1,0,0,1,0,0,1,0,0
274,1,0,0,1,0,0,1,0,0,1,0,0
275,1,0,0,1,0,0,1,0,0,1,0,0
286,1,0,0,1,0,0,1,0,0,1,0,0
287,0,1,0,0,1,0,0,1,0,0,1,0
288,0,1,0,0,1,0,0,1,0,0,1,0
290,1,0,0,1,0,0,1,0,0,1,0,0
291,1,0,0,1,0,0,1,0,0,1,0,0
299,0,1,0,0,1,0,0,1,0,0,1,0
300,1,0,0,1,0,0,1,0,0,1,0,0
301,1,0,0,1,0,0,1,0,0,1,0,0
304,2,0,0,2,0,0,2,0,0,2,0,0
316,0,1,0,0,1,0,0,1,0,0,1,0
327,0,0,0,1,0,0,1,0,0,1,0,0
328,0,1,0,0,1,0,1,1,0,1,1,0
331,1,0,0,1,0,0,1,0,0,1,0,0
342,0,0,0,1,0,0,1,0,0,1,0,0
343,0,1,0,0,1,0,0,1,1,0,1,1
345,0,0,0,0,0,0,0,0,0,0,1,0
355,0,1,0,0,1,1,0,2,1,0,2,1
356,0,0,0,0,0,1,0,0,1,0,0,1
369,2,2,2,2,2,2,2,2,2,4,3,2
382,0,0,0,0,1,0,0,1,0,0,1,0
385,0,0,0,0,0,0,0,0,0,0,0,0
397,0,0,0,1,0,0,1,0,0,1,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0
412,1,0,0,1,0,0,1,0,0,1,0,0
